day,shift,shift_time,role,C_min,C_opt,C_max
1,S1,00:00-08:00,RS,1,1,2
1,S1,00:00-08:00,DAS,2,3,4
1,S1,00:00-08:00,BLO,1,1,2
1,S1,00:00-08:00,FSTC,1,1,2
1,S1,00:00-08:00,DS,1,1,2
1,S1,00:00-08:00,SLS,1,1,2
1,S2,08:00-16:00,RS,1,1,2
1,S2,08:00-16:00,DAS,5,8,10
1,S2,08:00-16:00,BLO,1,2,3
1,S2,08:00-16:00,FSTC,1,1,2
1,S2,08:00-16:00,DS,1,1,2
1,S2,08:00-16:00,SLS,1,1,2
1,S3,16:00-24:00,RS,1,1,2
1,S3,16:00-24:00,DAS,5,8,10
1,S3,16:00-24:00,BLO,1,2,3
1,S3,16:00-24:00,FSTC,1,1,2
1,S3,16:00-24:00,DS,1,1,2
1,S3,16:00-24:00,SLS,1,1,2
2,S1,00:00-08:00,RS,1,1,2
2,S1,00:00-08:00,DAS,2,3,4
2,S1,00:00-08:00,BLO,1,1,2
2,S1,00:00-08:00,FSTC,1,1,2
2,S1,00:00-08:00,DS,1,1,2
2,S1,00:00-08:00,SLS,1,1,2
2,S2,08:00-16:00,RS,1,1,2
2,S2,08:00-16:00,DAS,5,8,10
2,S2,08:00-16:00,BLO,1,2,3
2,S2,08:00-16:00,FSTC,1,1,2
2,S2,08:00-16:00,DS,1,1,2
2,S2,08:00-16:00,SLS,1,1,2
2,S3,16:00-24:00,RS,1,1,2
2,S3,16:00-24:00,DAS,6,9,11
2,S3,16:00-24:00,BLO,1,2,3
2,S3,16:00-24:00,FSTC,1,1,2
2,S3,16:00-24:00,DS,1,1,2
2,S3,16:00-24:00,SLS,1,1,2
3,S1,00:00-08:00,RS,1,1,2
3,S1,00:00-08:00,DAS,2,3,4
3,S1,00:00-08:00,BLO,1,1,2
3,S1,00:00-08:00,FSTC,1,1,2
3,S1,00:00-08:00,DS,1,1,2
3,S1,00:00-08:00,SLS,1,1,2
3,S2,08:00-16:00,RS,1,1,2
3,S2,08:00-16:00,DAS,6,9,11
3,S2,08:00-16:00,BLO,1,2,3
3,S2,08:00-16:00,FSTC,1,1,2
3,S2,08:00-16:00,DS,1,1,2
3,S2,08:00-16:00,SLS,1,1,2
3,S3,16:00-24:00,RS,1,1,2
3,S3,16:00-24:00,DAS,4,6,7
3,S3,16:00-24:00,BLO,1,2,3
3,S3,16:00-24:00,FSTC,1,1,2
3,S3,16:00-24:00,DS,1,1,2
3,S3,16:00-24:00,SLS,1,1,2
4,S1,00:00-08:00,RS,1,1,2
4,S1,00:00-08:00,DAS,3,4,5
4,S1,00:00-08:00,BLO,1,1,2
4,S1,00:00-08:00,FSTC,1,1,2
4,S1,00:00-08:00,DS,1,1,2
4,S1,00:00-08:00,SLS,1,1,2
4,S2,08:00-16:00,RS,1,1,2
4,S2,08:00-16:00,DAS,6,9,11
4,S2,08:00-16:00,BLO,1,2,3
4,S2,08:00-16:00,FSTC,1,1,2
4,S2,08:00-16:00,DS,1,1,2
4,S2,08:00-16:00,SLS,1,1,2
4,S3,16:00-24:00,RS,1,1,2
4,S3,16:00-24:00,DAS,5,8,10
4,S3,16:00-24:00,BLO,1,2,3
4,S3,16:00-24:00,FSTC,1,1,2
4,S3,16:00-24:00,DS,1,1,2
4,S3,16:00-24:00,SLS,1,1,2
5,S1,00:00-08:00,RS,1,1,2
5,S1,00:00-08:00,DAS,2,3,4
5,S1,00:00-08:00,BLO,1,1,2
5,S1,00:00-08:00,FSTC,1,1,2
5,S1,00:00-08:00,DS,1,1,2
5,S1,00:00-08:00,SLS,1,1,2
5,S2,08:00-16:00,RS,1,1,2
5,S2,08:00-16:00,DAS,5,8,10
5,S2,08:00-16:00,BLO,1,2,3
5,S2,08:00-16:00,FSTC,1,1,2
5,S2,08:00-16:00,DS,1,1,2
5,S2,08:00-16:00,SLS,1,1,2
5,S3,16:00-24:00,RS,1,1,2
5,S3,16:00-24:00,DAS,5,8,10
5,S3,16:00-24:00,BLO,1,2,3
5,S3,16:00-24:00,FSTC,1,1,2
5,S3,16:00-24:00,DS,1,1,2
5,S3,16:00-24:00,SLS,1,1,2
6,S1,00:00-08:00,RS,1,1,2
6,S1,00:00-08:00,DAS,3,4,5
6,S1,00:00-08:00,BLO,1,1,2
6,S1,00:00-08:00,FSTC,1,1,2
6,S1,00:00-08:00,DS,1,1,2
6,S1,00:00-08:00,SLS,1,1,2
6,S2,08:00-16:00,RS,1,1,2
6,S2,08:00-16:00,DAS,5,8,10
6,S2,08:00-16:00,BLO,1,2,3
6,S2,08:00-16:00,FSTC,1,1,2
6,S2,08:00-16:00,DS,1,1,2
6,S2,08:00-16:00,SLS,1,1,2
6,S3,16:00-24:00,RS,1,1,2
6,S3,16:00-24:00,DAS,5,8,10
6,S3,16:00-24:00,BLO,1,2,3
6,S3,16:00-24:00,FSTC,1,1,2
6,S3,16:00-24:00,DS,1,1,2
6,S3,16:00-24:00,SLS,1,1,2
7,S1,00:00-08:00,RS,1,1,2
7,S1,00:00-08:00,DAS,2,3,4
7,S1,00:00-08:00,BLO,1,1,2
7,S1,00:00-08:00,FSTC,1,1,2
7,S1,00:00-08:00,DS,1,1,2
7,S1,00:00-08:00,SLS,1,1,2
7,S2,08:00-16:00,RS,1,1,2
7,S2,08:00-16:00,DAS,4,6,7
7,S2,08:00-16:00,BLO,1,2,3
7,S2,08:00-16:00,FSTC,1,1,2
7,S2,08:00-16:00,DS,1,1,2
7,S2,08:00-16:00,SLS,1,1,2
7,S3,16:00-24:00,RS,1,1,2
7,S3,16:00-24:00,DAS,5,8,10
7,S3,16:00-24:00,BLO,1,2,3
7,S3,16:00-24:00,FSTC,1,1,2
7,S3,16:00-24:00,DS,1,1,2
7,S3,16:00-24:00,SLS,1,1,2
8,S1,00:00-08:00,RS,1,1,2
8,S1,00:00-08:00,DAS,2,3,4
8,S1,00:00-08:00,BLO,1,1,2
8,S1,00:00-08:00,FSTC,1,1,2
8,S1,00:00-08:00,DS,1,1,2
8,S1,00:00-08:00,SLS,1,1,2
8,S2,08:00-16:00,RS,1,1,2
8,S2,08:00-16:00,DAS,5,8,10
8,S2,08:00-16:00,BLO,1,2,3
8,S2,08:00-16:00,FSTC,1,1,2
8,S2,08:00-16:00,DS,1,1,2
8,S2,08:00-16:00,SLS,1,1,2
8,S3,16:00-24:00,RS,1,1,2
8,S3,16:00-24:00,DAS,5,8,10
8,S3,16:00-24:00,BLO,1,2,3
8,S3,16:00-24:00,FSTC,1,1,2
8,S3,16:00-24:00,DS,1,1,2
8,S3,16:00-24:00,SLS,1,1,2
9,S1,00:00-08:00,RS,1,1,2
9,S1,00:00-08:00,DAS,2,3,4
9,S1,00:00-08:00,BLO,1,1,2
9,S1,00:00-08:00,FSTC,1,1,2
9,S1,00:00-08:00,DS,1,1,2
9,S1,00:00-08:00,SLS,1,1,2
9,S2,08:00-16:00,RS,1,1,2
9,S2,08:00-16:00,DAS,5,8,10
9,S2,08:00-16:00,BLO,1,1,2
9,S2,08:00-16:00,FSTC,1,1,2
9,S2,08:00-16:00,DS,1,1,2
9,S2,08:00-16:00,SLS,1,1,2
9,S3,16:00-24:00,RS,1,1,2
9,S3,16:00-24:00,DAS,5,8,10
9,S3,16:00-24:00,BLO,1,1,2
9,S3,16:00-24:00,FSTC,1,1,2
9,S3,16:00-24:00,DS,1,1,2
9,S3,16:00-24:00,SLS,1,1,2
10,S1,00:00-08:00,RS,1,1,2
10,S1,00:00-08:00,DAS,3,4,5
10,S1,00:00-08:00,BLO,1,1,2
10,S1,00:00-08:00,FSTC,1,1,2
10,S1,00:00-08:00,DS,1,1,2
10,S1,00:00-08:00,SLS,1,1,2
10,S2,08:00-16:00,RS,1,1,2
10,S2,08:00-16:00,DAS,6,9,11
10,S2,08:00-16:00,BLO,1,1,2
10,S2,08:00-16:00,FSTC,1,1,2
10,S2,08:00-16:00,DS,1,1,2
10,S2,08:00-16:00,SLS,1,1,2
10,S3,16:00-24:00,RS,1,1,2
10,S3,16:00-24:00,DAS,5,8,10
10,S3,16:00-24:00,BLO,1,1,2
10,S3,16:00-24:00,FSTC,1,1,2
10,S3,16:00-24:00,DS,1,1,2
10,S3,16:00-24:00,SLS,1,1,2
11,S1,00:00-08:00,RS,1,1,2
11,S1,00:00-08:00,DAS,2,3,4
11,S1,00:00-08:00,BLO,1,1,2
11,S1,00:00-08:00,FSTC,1,1,2
11,S1,00:00-08:00,DS,1,1,2
11,S1,00:00-08:00,SLS,1,1,2
11,S2,08:00-16:00,RS,1,1,2
11,S2,08:00-16:00,DAS,5,8,10
11,S2,08:00-16:00,BLO,1,1,2
11,S2,08:00-16:00,FSTC,1,1,2
11,S2,08:00-16:00,DS,1,1,2
11,S2,08:00-16:00,SLS,1,1,2
11,S3,16:00-24:00,RS,1,1,2
11,S3,16:00-24:00,DAS,6,9,11
11,S3,16:00-24:00,BLO,1,1,2
11,S3,16:00-24:00,FSTC,1,1,2
11,S3,16:00-24:00,DS,1,1,2
11,S3,16:00-24:00,SLS,1,1,2
12,S1,00:00-08:00,RS,1,1,2
12,S1,00:00-08:00,DAS,3,4,5
12,S1,00:00-08:00,BLO,1,1,2
12,S1,00:00-08:00,FSTC,1,1,2
12,S1,00:00-08:00,DS,1,1,2
12,S1,00:00-08:00,SLS,1,1,2
12,S2,08:00-16:00,RS,1,1,2
12,S2,08:00-16:00,DAS,5,8,10
12,S2,08:00-16:00,BLO,1,1,2
12,S2,08:00-16:00,FSTC,1,1,2
12,S2,08:00-16:00,DS,1,1,2
12,S2,08:00-16:00,SLS,1,1,2
12,S3,16:00-24:00,RS,1,1,2
12,S3,16:00-24:00,DAS,5,8,10
12,S3,16:00-24:00,BLO,1,1,2
12,S3,16:00-24:00,FSTC,1,1,2
12,S3,16:00-24:00,DS,1,1,2
12,S3,16:00-24:00,SLS,1,1,2
13,S1,00:00-08:00,RS,1,1,2
13,S1,00:00-08:00,DAS,2,3,4
