day,shift,shift_time,RS,DAS,BLO,FSTC,DS,SLS,total_staff
1,S1,00:00-08:00,1,3,1,1,1,1,8
1,S2,08:00-16:00,1,8,2,1,1,1,14
1,S3,16:00-24:00,1,8,2,1,1,1,14
2,S1,00:00-08:00,1,3,1,1,1,1,8
2,S2,08:00-16:00,1,8,2,1,1,1,14
2,S3,16:00-24:00,1,9,2,1,1,1,15
3,S1,00:00-08:00,1,3,1,1,1,1,8
3,S2,08:00-16:00,1,9,2,1,1,1,15
3,S3,16:00-24:00,1,6,2,1,1,1,12
4,S1,00:00-08:00,1,4,1,1,1,1,9
4,S2,08:00-16:00,1,9,2,1,1,1,15
4,S3,16:00-24:00,1,8,2,1,1,1,14
5,S1,00:00-08:00,1,3,1,1,1,1,8
5,S2,08:00-16:00,1,8,2,1,1,1,14
5,S3,16:00-24:00,1,8,2,1,1,1,14
6,S1,00:00-08:00,1,4,1,1,1,1,9
6,S2,08:00-16:00,1,8,2,1,1,1,14
6,S3,16:00-24:00,1,8,2,1,1,1,14
7,S1,00:00-08:00,1,3,1,1,1,1,8
7,S2,08:00-16:00,1,6,2,1,1,1,12
7,S3,16:00-24:00,1,8,2,1,1,1,14
8,S1,00:00-08:00,1,3,1,1,1,1,8
8,S2,08:00-16:00,1,8,2,1,1,1,14
8,S3,16:00-24:00,1,8,2,1,1,1,14
9,S1,00:00-08:00,1,3,1,1,1,1,8
9,S2,08:00-16:00,1,8,1,1,1,1,13
9,S3,16:00-24:00,1,8,1,1,1,1,13
10,S1,00:00-08:00,1,4,1,1,1,1,9
10,S2,08:00-16:00,1,9,1,1,1,1,14
10,S3,16:00-24:00,1,8,1,1,1,1,13
11,S1,00:00-08:00,1,3,1,1,1,1,8
11,S2,08:00-16:00,1,8,1,1,1,1,13
11,S3,16:00-24:00,1,9,1,1,1,1,14
12,S1,00:00-08:00,1,4,1,1,1,1,9
12,S2,08:00-16:00,1,8,1,1,1,1,13
12,S3,16:00-24:00,1,8,1,1,1,1,13
13,S1,00:00-08:00,1,3,1,1,1,1,8
13,S2,08:00-16:00,1,6,1,1,1,1,11
13,S3,16:00-24:00,1,8,1,1,1,1,13
14,S1,00:00-08:00,1,3,1,1,1,1,8
14,S2,08:00-16:00,1,8,1,1,1,1,13
14,S3,16:00-24:00,1,8,1,1,1,1,13
15,S1,00:00-08:00,1,4,1,1,1,1,9
15,S2,08:00-16:00,1,8,1,1,1,1,13
15,S3,16:00-24:00,1,6,1,1,1,1,11
16,S1,00:00-08:00,1,3,1,1,1,1,8
16,S2,08:00-16:00,1,6,1,1,1,1,11
16,S3,16:00-24:00,1,8,1,1,1,1,13
17,S1,00:00-08:00,1,3,1,1,1,1,8
17,S2,08:00-16:00,1,8,1,1,1,1,13
17,S3,16:00-24:00,1,8,1,1,1,1,13
18,S1,00:00-08:00,1,4,1,1,1,1,9
18,S2,08:00-16:00,1,8,1,1,1,1,13
18,S3,16:00-24:00,1,9,1,1,1,1,14
19,S1,00:00-08:00,1,3,1,1,1,1,8
19,S2,08:00-16:00,1,8,1,1,1,1,13
19,S3,16:00-24:00,1,6,1,1,1,1,11
20,S1,00:00-08:00,1,3,1,1,1,1,8
20,S2,08:00-16:00,1,6,1,1,1,1,11
20,S3,16:00-24:00,1,8,1,1,1,1,13
21,S1,00:00-08:00,1,3,1,1,1,1,8
21,S2,08:00-16:00,1,6,1,1,1,1,11
21,S3,16:00-24:00,1,6,1,1,1,1,11
22,S1,00:00-08:00,1,3,1,1,1,1,8
22,S2,08:00-16:00,1,8,1,1,1,1,13
22,S3,16:00-24:00,1,8,1,1,1,1,13
23,S1,00:00-08:00,1,3,1,1,1,1,8
23,S2,08:00-16:00,1,8,1,1,1,1,13
23,S3,16:00-24:00,1,8,1,1,1,1,13
24,S1,00:00-08:00,1,4,1,1,1,1,9
24,S2,08:00-16:00,1,8,1,1,1,1,13
24,S3,16:00-24:00,1,8,1,1,1,1,13
25,S1,00:00-08:00,1,4,1,1,1,1,9
25,S2,08:00-16:00,1,8,1,1,1,1,13
25,S3,16:00-24:00,1,8,1,1,1,1,13
26,S1,00:00-08:00,1,3,1,1,1,1,8
26,S2,08:00-16:00,1,8,1,1,1,1,13
26,S3,16:00-24:00,1,6,1,1,1,1,11
27,S1,00:00-08:00,1,3,1,1,1,1,8
27,S2,08:00-16:00,1,8,1,1,1,1,13
27,S3,16:00-24:00,1,6,1,1,1,1,11
28,S1,00:00-08:00,1,3,1,1,1,1,8
28,S2,08:00-16:00,1,8,1,1,1,1,13
28,S3,16:00-24:00,1,8,1,1,1,1,13
