iteration,temperature,current_score,best_score,accepted,rejected,current_hard_violations,current_skill_violations,current_availability_violations,current_fixed_assignment_violations,current_rest_violations,current_contract_violations,current_consecutive_work_violations,current_consecutive_night_violations,current_shortage_to_Cmin,current_shortage_to_Copt,current_overstaff_above_Copt,current_overstaff_above_Cmax,current_coverage_under_Cmin_cells,current_coverage_under_Copt_cells,current_coverage_over_Cmax_cells,current_preference_penalty,current_standard_profile_penalty,current_incompatibility_penalty,current_fairness_penalty,current_actual_assignments,best_hard_violations,best_skill_violations,best_availability_violations,best_fixed_assignment_violations,best_rest_violations,best_contract_violations,best_consecutive_work_violations,best_consecutive_night_violations,best_shortage_to_Cmin,best_shortage_to_Copt,best_overstaff_above_Copt,best_overstaff_above_Cmax,best_coverage_under_Cmin_cells,best_coverage_under_Copt_cells,best_coverage_over_Cmax_cells,best_preference_penalty,best_standard_profile_penalty,best_incompatibility_penalty,best_fairness_penalty,best_actual_assignments,stop_reason
200,500.0,4415.0,2186.0,18,182,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,26.0,1303.0,0.0,86.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
400,500.0,7685.0,2186.0,51,349,8.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,52.0,1351.0,200.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
600,500.0,13068.0,2186.0,91,509,18.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,86.0,1399.0,200.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
800,475.0,17633.0,2186.0,125,675,27.0,0.0,0.0,0.0,15.0,0.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,115.0,1438.0,800.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
1000,475.0,19080.0,2186.0,164,836,27.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,133.0,1465.0,1000.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
1200,475.0,22420.0,2186.0,200,1000,28.0,0.0,0.0,0.0,21.0,0.0,7.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,141.0,1498.0,1400.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
1400,475.0,29470.0,2186.0,240,1160,39.0,0.0,0.0,0.0,29.0,0.0,10.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,176.0,1513.0,1400.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
1600,451.25,34808.0,2186.0,269,1331,50.0,0.0,0.0,0.0,34.0,0.0,16.0,0.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,204.0,1522.0,1200.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
1800,451.25,36229.0,2186.0,298,1502,52.0,0.0,0.0,0.0,37.0,0.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,204.0,1543.0,1000.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
2000,451.25,37485.0,2186.0,331,1669,53.0,0.0,0.0,0.0,38.0,0.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,232.0,1573.0,1400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
2200,428.6875,38548.0,2186.0,369,1831,53.0,0.0,0.0,0.0,39.0,0.0,13.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,259.0,1609.0,1400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
2400,428.6875,38204.0,2186.0,407,1993,51.0,0.0,0.0,0.0,39.0,0.0,11.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,291.0,1633.0,1400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
2600,428.6875,36914.0,2186.0,440,2160,49.0,0.0,0.0,0.0,37.0,0.0,11.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,295.0,1636.0,1400.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
2800,428.6875,40329.0,2186.0,479,2321,57.0,0.0,0.0,0.0,40.0,0.0,16.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,293.0,1651.0,1400.0,85.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
