metric,value
algorithm,Simulated Annealing Phase 2
scale,small
initial_temp,500.0
min_temp,0.1
cooling_rate,0.95
cycles_per_temp,700
seed,42
hard_penalty,100000.0
initial_score,2186.0
final_score,2186.0
score_improvement,0.0
score_improvement_percent,0.0
initial_score,2186.0
initial_hard_violations,0
initial_skill_violations,0
initial_availability_violations,0
initial_fixed_assignment_violations,0
initial_rest_violations,0
initial_contract_violations,0
initial_consecutive_work_violations,0
initial_consecutive_night_violations,0
initial_shortage_to_Cmin,0
initial_shortage_to_Copt,0
initial_overstaff_above_Copt,16
initial_overstaff_above_Cmax,0
initial_coverage_under_Cmin_cells,0
initial_coverage_under_Copt_cells,0
initial_coverage_over_Cmax_cells,0
initial_preference_penalty,18.0
initial_standard_profile_penalty,1282.0
initial_incompatibility_penalty,0.0
initial_fairness_penalty,86.0
initial_actual_assignments,976
final_score,2186.0
final_hard_violations,0
final_skill_violations,0
final_availability_violations,0
final_fixed_assignment_violations,0
final_rest_violations,0
final_contract_violations,0
final_consecutive_work_violations,0
final_consecutive_night_violations,0
final_shortage_to_Cmin,0
final_shortage_to_Copt,0
final_overstaff_above_Copt,16
final_overstaff_above_Cmax,0
final_coverage_under_Cmin_cells,0
final_coverage_under_Copt_cells,0
final_coverage_over_Cmax_cells,0
final_preference_penalty,18.0
final_standard_profile_penalty,1282.0
final_incompatibility_penalty,0.0
final_fairness_penalty,86.0
final_actual_assignments,976
