employee_id,day,shift,shift_time,role,assigned
E005,1,S1,00:00-08:00,BLO,1
MEDIUM_E062,1,S1,00:00-08:00,BLO,1
E014,1,S1,00:00-08:00,DAS,1
E022,1,S1,00:00-08:00,DAS,1
E027,1,S1,00:00-08:00,DAS,1
E028,1,S1,00:00-08:00,DAS,1
MEDIUM_E067,1,S1,00:00-08:00,DAS,1
MEDIUM_E058,1,S1,00:00-08:00,DS,1
MEDIUM_E061,1,S1,00:00-08:00,DS,1
E048,1,S1,00:00-08:00,FSTC,1
MEDIUM_E066,1,S1,00:00-08:00,FSTC,1
E024,1,S1,00:00-08:00,RS,1
MEDIUM_E060,1,S1,00:00-08:00,RS,1
E042,1,S1,00:00-08:00,SLS,1
MEDIUM_E049,1,S1,00:00-08:00,SLS,1
MEDIUM_E053,1,S2,08:00-16:00,BLO,1
MEDIUM_E056,1,S2,08:00-16:00,BLO,1
E003,1,S2,08:00-16:00,DAS,1
E007,1,S2,08:00-16:00,DAS,1
E011,1,S2,08:00-16:00,DAS,1
E019,1,S2,08:00-16:00,DAS,1
E029,1,S2,08:00-16:00,DAS,1
E040,1,S2,08:00-16:00,DAS,1
E046,1,S2,08:00-16:00,DAS,1
MEDIUM_E051,1,S2,08:00-16:00,DAS,1
MEDIUM_E052,1,S2,08:00-16:00,DAS,1
MEDIUM_E055,1,S2,08:00-16:00,DAS,1
MEDIUM_E057,1,S2,08:00-16:00,DAS,1
MEDIUM_E059,1,S2,08:00-16:00,DAS,1
E041,1,S2,08:00-16:00,DS,1
MEDIUM_E064,1,S2,08:00-16:00,DS,1
E026,1,S2,08:00-16:00,FSTC,1
E034,1,S2,08:00-16:00,FSTC,1
E023,1,S2,08:00-16:00,RS,1
E032,1,S2,08:00-16:00,RS,1
E001,1,S2,08:00-16:00,SLS,1
E017,1,S2,08:00-16:00,SLS,1
E004,1,S3,16:00-24:00,BLO,1
E044,1,S3,16:00-24:00,BLO,1
E047,1,S3,16:00-24:00,BLO,1
E002,1,S3,16:00-24:00,DAS,1
E018,1,S3,16:00-24:00,DAS,1
E020,1,S3,16:00-24:00,DAS,1
E021,1,S3,16:00-24:00,DAS,1
E031,1,S3,16:00-24:00,DAS,1
E037,1,S3,16:00-24:00,DAS,1
E038,1,S3,16:00-24:00,DAS,1
E045,1,S3,16:00-24:00,DAS,1
MEDIUM_E050,1,S3,16:00-24:00,DAS,1
MEDIUM_E063,1,S3,16:00-24:00,DAS,1
MEDIUM_E069,1,S3,16:00-24:00,DAS,1
MEDIUM_E070,1,S3,16:00-24:00,DAS,1
E010,1,S3,16:00-24:00,DS,1
E013,1,S3,16:00-24:00,DS,1
E033,1,S3,16:00-24:00,FSTC,1
E035,1,S3,16:00-24:00,FSTC,1
E006,1,S3,16:00-24:00,RS,1
E012,1,S3,16:00-24:00,RS,1
E025,1,S3,16:00-24:00,SLS,1
MEDIUM_E065,1,S3,16:00-24:00,SLS,1
E005,2,S1,00:00-08:00,BLO,1
MEDIUM_E062,2,S1,00:00-08:00,BLO,1
E009,2,S1,00:00-08:00,DAS,1
MEDIUM_E066,2,S1,00:00-08:00,DAS,1
MEDIUM_E067,2,S1,00:00-08:00,DAS,1
MEDIUM_E068,2,S1,00:00-08:00,DAS,1
E016,2,S1,00:00-08:00,DS,1
MEDIUM_E058,2,S1,00:00-08:00,DS,1
E030,2,S1,00:00-08:00,FSTC,1
E039,2,S1,00:00-08:00,FSTC,1
MEDIUM_E054,2,S1,00:00-08:00,RS,1
MEDIUM_E060,2,S1,00:00-08:00,RS,1
E043,2,S1,00:00-08:00,SLS,1
MEDIUM_E049,2,S1,00:00-08:00,SLS,1
E008,2,S2,08:00-16:00,BLO,1
MEDIUM_E053,2,S2,08:00-16:00,BLO,1
MEDIUM_E056,2,S2,08:00-16:00,BLO,1
E003,2,S2,08:00-16:00,DAS,1
E007,2,S2,08:00-16:00,DAS,1
E011,2,S2,08:00-16:00,DAS,1
E029,2,S2,08:00-16:00,DAS,1
E036,2,S2,08:00-16:00,DAS,1
E040,2,S2,08:00-16:00,DAS,1
E046,2,S2,08:00-16:00,DAS,1
MEDIUM_E051,2,S2,08:00-16:00,DAS,1
MEDIUM_E052,2,S2,08:00-16:00,DAS,1
MEDIUM_E055,2,S2,08:00-16:00,DAS,1
MEDIUM_E057,2,S2,08:00-16:00,DAS,1
MEDIUM_E059,2,S2,08:00-16:00,DAS,1
MEDIUM_E061,2,S2,08:00-16:00,DS,1
MEDIUM_E064,2,S2,08:00-16:00,DS,1
E026,2,S2,08:00-16:00,FSTC,1
E034,2,S2,08:00-16:00,FSTC,1
E024,2,S2,08:00-16:00,RS,1
E032,2,S2,08:00-16:00,RS,1
E001,2,S2,08:00-16:00,SLS,1
E042,2,S2,08:00-16:00,SLS,1
E041,2,S3,16:00-24:00,BLO,1
E044,2,S3,16:00-24:00,BLO,1
E002,2,S3,16:00-24:00,DAS,1
E015,2,S3,16:00-24:00,DAS,1
E019,2,S3,16:00-24:00,DAS,1
E021,2,S3,16:00-24:00,DAS,1
E022,2,S3,16:00-24:00,DAS,1
E028,2,S3,16:00-24:00,DAS,1
E031,2,S3,16:00-24:00,DAS,1
E037,2,S3,16:00-24:00,DAS,1
E038,2,S3,16:00-24:00,DAS,1
MEDIUM_E050,2,S3,16:00-24:00,DAS,1
MEDIUM_E063,2,S3,16:00-24:00,DAS,1
MEDIUM_E069,2,S3,16:00-24:00,DAS,1
MEDIUM_E070,2,S3,16:00-24:00,DAS,1
E010,2,S3,16:00-24:00,DS,1
E013,2,S3,16:00-24:00,DS,1
E035,2,S3,16:00-24:00,FSTC,1
E048,2,S3,16:00-24:00,FSTC,1
E006,2,S3,16:00-24:00,RS,1
E012,2,S3,16:00-24:00,RS,1
E025,2,S3,16:00-24:00,SLS,1
MEDIUM_E065,2,S3,16:00-24:00,SLS,1
E005,3,S1,00:00-08:00,BLO,1
E014,3,S1,00:00-08:00,BLO,1
E020,3,S1,00:00-08:00,DAS,1
E047,3,S1,00:00-08:00,DAS,1
MEDIUM_E066,3,S1,00:00-08:00,DAS,1
MEDIUM_E067,3,S1,00:00-08:00,DAS,1
MEDIUM_E068,3,S1,00:00-08:00,DAS,1
E027,3,S1,00:00-08:00,DS,1
MEDIUM_E058,3,S1,00:00-08:00,DS,1
E018,3,S1,00:00-08:00,FSTC,1
E033,3,S1,00:00-08:00,FSTC,1
E023,3,S1,00:00-08:00,RS,1
MEDIUM_E054,3,S1,00:00-08:00,RS,1
E017,3,S1,00:00-08:00,SLS,1
MEDIUM_E049,3,S1,00:00-08:00,SLS,1
E008,3,S2,08:00-16:00,BLO,1
MEDIUM_E053,3,S2,08:00-16:00,BLO,1
MEDIUM_E056,3,S2,08:00-16:00,BLO,1
E003,3,S2,08:00-16:00,DAS,1
E004,3,S2,08:00-16:00,DAS,1
E007,3,S2,08:00-16:00,DAS,1
E009,3,S2,08:00-16:00,DAS,1
E011,3,S2,08:00-16:00,DAS,1
E029,3,S2,08:00-16:00,DAS,1
E036,3,S2,08:00-16:00,DAS,1
