day,shift,shift_time,role,C_min,C_opt,C_max,actual_staff,gap_to_Copt,shortage_to_Cmin,shortage_to_Copt,overstaff_above_Copt,overstaff_above_Cmax,coverage_status
1,S1,00:00-08:00,BLO,2,2,3,2,0,0,0,0,0,OK
1,S1,00:00-08:00,DAS,3,5,6,5,0,0,0,0,0,OK
1,S1,00:00-08:00,DS,2,2,3,2,0,0,0,0,0,OK
1,S1,00:00-08:00,FSTC,2,2,3,2,0,0,0,0,0,OK
1,S1,00:00-08:00,RS,2,2,3,2,0,0,0,0,0,OK
1,S1,00:00-08:00,SLS,2,2,3,2,0,0,0,0,0,OK
1,S2,08:00-16:00,BLO,2,3,5,2,-1,0,1,0,0,UNDER_COPT
1,S2,08:00-16:00,DAS,8,12,15,12,0,0,0,0,0,OK
1,S2,08:00-16:00,DS,2,2,3,2,0,0,0,0,0,OK
1,S2,08:00-16:00,FSTC,2,2,3,2,0,0,0,0,0,OK
1,S2,08:00-16:00,RS,2,2,3,2,0,0,0,0,0,OK
1,S2,08:00-16:00,SLS,2,2,3,2,0,0,0,0,0,OK
1,S3,16:00-24:00,BLO,2,3,5,3,0,0,0,0,0,OK
1,S3,16:00-24:00,DAS,8,12,15,12,0,0,0,0,0,OK
1,S3,16:00-24:00,DS,2,2,3,2,0,0,0,0,0,OK
1,S3,16:00-24:00,FSTC,2,2,3,2,0,0,0,0,0,OK
1,S3,16:00-24:00,RS,2,2,3,2,0,0,0,0,0,OK
1,S3,16:00-24:00,SLS,2,2,3,2,0,0,0,0,0,OK
2,S1,00:00-08:00,BLO,2,2,3,2,0,0,0,0,0,OK
2,S1,00:00-08:00,DAS,3,5,6,4,-1,0,1,0,0,UNDER_COPT
2,S1,00:00-08:00,DS,2,2,3,2,0,0,0,0,0,OK
2,S1,00:00-08:00,FSTC,2,2,3,2,0,0,0,0,0,OK
2,S1,00:00-08:00,RS,2,2,3,2,0,0,0,0,0,OK
2,S1,00:00-08:00,SLS,2,2,3,2,0,0,0,0,0,OK
2,S2,08:00-16:00,BLO,2,3,5,3,0,0,0,0,0,OK
2,S2,08:00-16:00,DAS,8,12,15,12,0,0,0,0,0,OK
