employee_id,employee_name,min_work_days,max_work_days,target_work_days,min_hours,max_hours,target_hours,min_days_off,max_days_off,max_night_shifts,max_consecutive_work_days,max_consecutive_night_shifts,min_consecutive_days_off,min_days_off_after_work_block,night_block_separation,max_working_weekends,max_working_public_holidays,complete_weekend_required,standard_role,standard_shift
E001,Employee 1,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,SLS,S2
E002,Employee 2,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E003,Employee 3,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E004,Employee 4,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E005,Employee 5,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,BLO,S2
E006,Employee 6,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,RS,S1
E007,Employee 7,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E008,Employee 8,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,BLO,S2
E009,Employee 9,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E010,Employee 10,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DS,S3
E011,Employee 11,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E012,Employee 12,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E013,Employee 13,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DS,S3
E014,Employee 14,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E015,Employee 15,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E016,Employee 16,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DS,S2
E017,Employee 17,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,SLS,S1
E018,Employee 18,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
E019,Employee 19,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
