day,shift,shift_time,RS_min,RS_opt,RS_max,DAS_min,DAS_opt,DAS_max,BLO_min,BLO_opt,BLO_max,FSTC_min,FSTC_opt,FSTC_max,DS_min,DS_opt,DS_max,SLS_min,SLS_opt,SLS_max,total_min,total_opt,total_max
1,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
1,S2,08:00-16:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
1,S3,16:00-24:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
2,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
2,S2,08:00-16:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
2,S3,16:00-24:00,2,2,3,9,14,17,2,3,5,2,2,3,2,2,3,2,2,3,19,25,34
3,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
3,S2,08:00-16:00,2,2,3,9,14,17,2,3,5,2,2,3,2,2,3,2,2,3,19,25,34
3,S3,16:00-24:00,2,2,3,6,9,11,2,3,5,2,2,3,2,2,3,2,2,3,16,20,28
4,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
4,S2,08:00-16:00,2,2,3,9,14,17,2,3,5,2,2,3,2,2,3,2,2,3,19,25,34
4,S3,16:00-24:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
5,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
5,S2,08:00-16:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
5,S3,16:00-24:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
6,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
6,S2,08:00-16:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
6,S3,16:00-24:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
7,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
7,S2,08:00-16:00,2,2,3,6,9,11,2,3,5,2,2,3,2,2,3,2,2,3,16,20,28
7,S3,16:00-24:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
8,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
8,S2,08:00-16:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
8,S3,16:00-24:00,2,2,3,8,12,15,2,3,5,2,2,3,2,2,3,2,2,3,18,23,32
9,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
9,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
9,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
10,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
10,S2,08:00-16:00,2,2,3,9,14,17,2,2,3,2,2,3,2,2,3,2,2,3,19,24,32
10,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
11,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
11,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
11,S3,16:00-24:00,2,2,3,9,14,17,2,2,3,2,2,3,2,2,3,2,2,3,19,24,32
12,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
